iter	Logloss
0	0.5970223502
1	0.5249656855
2	0.4621624342
3	0.4095761408
4	0.3723073632
5	0.3350841103
6	0.2983125331
7	0.2736025779
8	0.249620212
9	0.2312357005
10	0.2132139443
11	0.1998691685
12	0.1864886251
13	0.1777867023
14	0.1684543896
15	0.1599301646
16	0.1538666754
17	0.147614185
18	0.1432232192
19	0.1388590707
20	0.1337401624
21	0.1306824899
22	0.1268991112
23	0.1238565843
24	0.1215989943
25	0.1190337502
26	0.1162009922
27	0.1142575351
28	0.1127936318
29	0.1112560737
30	0.1096364452
31	0.1079305759
32	0.1066976907
33	0.105211219
34	0.1042188326
35	0.1027314176
36	0.1012632882
37	0.1002992347
38	0.09968444472
39	0.09882187613
40	0.09755509193
41	0.09664321491
42	0.09549267893
43	0.09476696948
44	0.09426193615
45	0.09374991195
46	0.09323120771
47	0.09248406157
48	0.09183715093
49	0.09119914177
50	0.09080700725
51	0.0901133921
52	0.08932947153
53	0.08869818681
54	0.0877585476
55	0.0875663816
56	0.08723959559
57	0.08655489055
58	0.08608585268
59	0.08572195223
60	0.08528759635
61	0.08469923307
62	0.08408558579
63	0.08370360239
64	0.08312570105
65	0.082915152
66	0.08239730658
67	0.08199849877
68	0.08135822356
69	0.08114523257
70	0.08090946149
71	0.0805786921
72	0.08026167007
73	0.08004413854
74	0.07984858027
75	0.07952069385
76	0.0793345678
77	0.07905112083
78	0.07873374175
79	0.07851773624
80	0.07799771359
81	0.07782662626
82	0.07738259617
83	0.07705532938
84	0.07685870073
85	0.07649038017
86	0.07619984239
87	0.07596239658
88	0.07584108336
89	0.07559661214
90	0.07539060775
91	0.07520277973
92	0.0749000596
93	0.07476316651
94	0.07437632185
95	0.07404026798
96	0.07383091485
97	0.07366902217
98	0.07315533963
99	0.07299411702
100	0.07273312229
101	0.07244313102
102	0.07226922208
103	0.07211807177
104	0.07188039022
105	0.07162460642
106	0.07154284195
107	0.07139397314
108	0.07120200782
109	0.07098487896
110	0.07070348748
111	0.07060935358
112	0.07050327406
113	0.07041552963
114	0.07032602578
115	0.07005006994
116	0.06987690493
117	0.06964758855
118	0.06941329567
119	0.069193017
120	0.06909328655
121	0.06885435574
122	0.06852119879
123	0.06836757997
124	0.06826891702
125	0.06822777245
126	0.06804257125
127	0.06781641966
128	0.06775997483
129	0.06751271512
130	0.06735250415
131	0.06712901845
132	0.0669269918
133	0.06683235583
134	0.0667720815
135	0.0666413401
136	0.06642649775
137	0.06621771532
138	0.06601747934
139	0.06595626712
140	0.06586737627
141	0.06578401616
142	0.06555834966
143	0.06543864856
144	0.06522012292
145	0.0651576623
146	0.06504636965
147	0.06499968314
148	0.06476695827
149	0.06443479052
150	0.06429605326
151	0.06409273041
152	0.06394169653
153	0.06376507442
154	0.06372042816
155	0.06351545099
156	0.0632636025
157	0.06309962162
158	0.06291139277
159	0.06272154495
160	0.06257644224
161	0.06246322332
162	0.06224286989
163	0.0620911074
164	0.06182814628
165	0.06178736236
166	0.06153804175
167	0.06141727968
168	0.06122267
169	0.06105193359
170	0.06079043045
171	0.06064618985
172	0.06050388279
173	0.06033429974
174	0.06019522356
175	0.06010723233
176	0.0598181762
177	0.0597584918
178	0.05958285031
179	0.05942751871
180	0.05913718343
181	0.05894457334
182	0.05882909374
183	0.05879702398
184	0.05871376297
185	0.05853721417
186	0.05847553749
187	0.05828164942
188	0.05810801922
189	0.05796895446
190	0.05785848096
191	0.05763171652
192	0.05744980479
193	0.0573226289
194	0.05716475257
195	0.05709861593
196	0.05682241413
197	0.0567138702
198	0.05658882073
199	0.05651141612
200	0.05651140721
201	0.05639794063
202	0.05631533735
203	0.05613689191
204	0.05597608843
205	0.05586572289
206	0.05574533798
207	0.055560599
208	0.05542815091
209	0.05527565871
210	0.05500701612
211	0.05490756681
212	0.05468608047
213	0.05458865423
214	0.05440269646
215	0.05429440939
216	0.05416387861
217	0.05403543317
218	0.05378485713
219	0.05368321189
220	0.05357570763
221	0.0532931595
222	0.05320483253
223	0.05305876937
224	0.05287694336
225	0.05278317445
226	0.0525372326
227	0.05246026837
228	0.0523595118
229	0.05206424178
230	0.05194813698
231	0.05182249356
232	0.05169361142
233	0.05151784092
234	0.05137807931
235	0.05126253279
236	0.05114105862
237	0.05088739456
238	0.05078424908
239	0.05065232774
240	0.05056560302
241	0.05049290287
242	0.05041124476
243	0.05028538736
244	0.05019939726
245	0.04999736262
246	0.04994289608
247	0.04976901958
248	0.04970321757
249	0.04955167448
250	0.04942271009
251	0.04928473799
252	0.04910742045
253	0.04886284621
254	0.04869566779
255	0.04859609453
256	0.0485226221
257	0.048376951
258	0.04827563167
259	0.04812582207
260	0.04802046156
261	0.04787733233
262	0.04773898634
263	0.04760934867
264	0.04739525746
265	0.04724563419
266	0.04709594721
267	0.04697960162
268	0.0468596671
269	0.04675258559
270	0.04657542771
271	0.04647068049
272	0.04637207382
273	0.04627098982
274	0.04608431977
275	0.0459418736
276	0.04581451272
277	0.04569899777
278	0.04555543944
279	0.0453973501
280	0.04528979584
281	0.04515388269
282	0.04503638777
283	0.04496216701
284	0.04481755619
285	0.04462590315
286	0.04456223242
287	0.0444690594
288	0.04425034727
289	0.04408930765
290	0.04398930319
291	0.04381391365
292	0.04375408045
293	0.04365859331
294	0.04348573777
295	0.04339161083
296	0.0432265257
297	0.0431329832
298	0.04306377366
299	0.04302356763
